name	kind	location
_continuous_learning_enabled	func	core/acm_main.py:502
_count_rows	func	scripts/sql/validate_dual_write.py:21
_deep_update	func	utils/validators.py:79
_default_rul_result	func	core/rul_engine.py:1230
_delete_models_for_equip	func	scripts/sql_batch_runner.py:284
_derive_result	func	core/output_manager.py:2422
_discover_assets	func	scripts/chunk_replay.py:70
_ensure_dir	func	core/acm_main.py:468
_ensure_local_index	func	core/acm_main.py:471
_ensure_table	func	core/sql_logger.py:21
_fetch_columns	func	scripts/sql/export_schema_doc.py:27
_fetch_primary_keys	func	scripts/sql/export_schema_doc.py:60
_fetch_tables	func	scripts/sql/export_schema_doc.py:12
_finite_impute	func	core/outliers.py:17
_fit_linear_model	func	core/omr.py:241
_fit_pca_model	func	core/omr.py:266
_fit_pls_model	func	core/omr.py:234
_format_message	func	utils/logger.py:156
_future_cutoff_ts	func	core/output_manager.py:172
_generate_alert_age	func	core/output_manager.py:3378
_generate_calibration_summary	func	core/output_manager.py:3065
_generate_contrib_now	func	core/output_manager.py:2573
_generate_contrib_timeline	func	core/output_manager.py:2593
_generate_culprit_history	func	core/output_manager.py:3471
_generate_culprit_history_basic	func	core/output_manager.py:3610
_generate_daily_fused_profile	func	core/output_manager.py:3834
_generate_defect_summary	func	core/output_manager.py:2616
_generate_defect_timeline	func	core/output_manager.py:2662
_generate_detector_correlation	func	core/output_manager.py:3039
_generate_drift_events	func	core/output_manager.py:3156
_generate_drift_series	func	core/output_manager.py:3199
_generate_episode_diagnostics	func	core/output_manager.py:3723
_generate_episode_metrics	func	core/output_manager.py:3638
_generate_episode_severity_mapping	func	core/output_manager.py:2506
_generate_episodes_qc	func	core/output_manager.py:3255
_generate_fusion_quality_report	func	core/output_manager.py:3904
_generate_health_distribution_over_time	func	core/output_manager.py:3940
_generate_health_histogram	func	core/output_manager.py:3361
_generate_health_timeline	func	core/output_manager.py:2547
_generate_health_zone_by_period	func	core/output_manager.py:2756
_generate_omr_contributions_long	func	core/output_manager.py:3799
_generate_omr_timeline	func	core/output_manager.py:3977
_generate_regime_dwell_stats	func	core/output_manager.py:3127
_generate_regime_occupancy	func	core/output_manager.py:3338
_generate_regime_stability	func	core/output_manager.py:3429
_generate_regime_stats	func	core/output_manager.py:3858
_generate_regime_timeline	func	core/output_manager.py:2563
_generate_regime_transition_matrix	func	core/output_manager.py:3103
_generate_sensor_anomaly_by_period	func	core/output_manager.py:2785
_generate_sensor_defects	func	core/output_manager.py:2706
_generate_sensor_hotspot_timeline	func	core/output_manager.py:2990
_generate_sensor_hotspots_table	func	core/output_manager.py:2911
_generate_sensor_normalized_ts	func	core/output_manager.py:2814
_generate_sensor_rank_now	func	core/output_manager.py:3317
_generate_since_when	func	core/output_manager.py:3231
_generate_threshold_crossings	func	core/output_manager.py:3211
_get_ascii_only_from_env	func	utils/logger.py:73
_get_base_sensor	func	core/fuse.py:540
_get_config_int	func	scripts/sql_batch_runner.py:178
_get_data_range	func	scripts/sql_batch_runner.py:488
_get_equip_id	func	scripts/sql_batch_runner.py:141
_get_equipment_id	func	core/acm_main.py:359
_get_equipment_id	func	utils/sql_config.py:156
_get_format_from_env	func	utils/logger.py:66
_get_insertable_columns	func	core/output_manager.py:108
_get_level_from_env	func	utils/logger.py:53
_get_progress_file	func	scripts/chunk_replay.py:76
_get_sql_connection	func	scripts/sql_batch_runner.py:114
_get_table_columns	func	core/output_manager.py:96
_health_index	func	core/output_manager.py:315
_health_index	func	core/simplified_output_manager.py:50
_hybrid_threshold	func	core/adaptive_thresholds.py:253
_infer_module_name	func	utils/logger.py:221
_infer_numeric_cols	func	core/output_manager.py:243
_infer_tick_minutes_from_raw	func	scripts/sql_batch_runner.py:220
_init_pipeline	func	core/river_models.py:41
_inspect_last_run_outputs	func	scripts/sql_batch_runner.py:302
_latest_run_id	func	scripts/sql/validate_dual_write.py:37
_load_chunks	func	scripts/chunk_replay.py:129
_load_config	func	core/acm_main.py:387
_load_config_from_sql	func	utils/sql_config.py:81
_load_data_from_sql	func	core/output_manager.py:800
_load_data_window	func	core/smart_coldstart.py:394
_load_from_csv	func	utils/config_dict.py:80
_load_from_sql	func	utils/config_dict.py:172
_load_models_from_sql	func	core/model_persistence.py:822
_load_progress	func	scripts/chunk_replay.py:81
_load_progress	func	scripts/sql_batch_runner.py:456
_log	func	scripts/chunk_replay.py:41
_log	func	scripts/sql/test_config_load.py:26
_log	func	scripts/sql/test_dual_write_config.py:27
_log	func	scripts/sql/test_sql_mode_loading.py:25
_log	func	utils/logger.py:175
_log_historian_overview	func	scripts/sql_batch_runner.py:72
_mad_threshold	func	core/adaptive_thresholds.py:223
_make_args	func	tests/test_acm_logging.py:10
_mark_chunk_completed	func	scripts/chunk_replay.py:114
_maybe_load_ini	func	core/sql_client.py:95
_maybe_write_run_meta_json	func	core/acm_main.py:295
_merge	func	utils/config.py:32
_native_cadence_secs	func	core/output_manager.py:247
_nearest_indexer	func	core/acm_main.py:135
_NoOpHeartbeat	class	core/acm_main.py:77
_norm_key	func	core/output_manager.py:3922
_normalize_health_timeline	func	core/rul_engine.py:176
_NullContext	class	utils/timer.py:115
_parse_param_value	func	utils/sql_config.py:203
_parse_ts_index	func	core/output_manager.py:200
_path_exists_or_none	func	utils/validators.py:95
_pct	func	core/output_manager.py:3816
_prepare_data	func	core/omr.py:183
_prepare_dataframe	func	core/simplified_output_manager.py:238
_prepare_dataframe_for_sql	func	core/output_manager.py:1056
_print_summary	func	utils/timer.py:85
_process_asset	func	scripts/chunk_replay.py:159
_process_batches	func	scripts/sql_batch_runner.py:750
_process_coldstart	func	scripts/sql_batch_runner.py:679
_quantile_threshold	func	core/adaptive_thresholds.py:200
_read_csv_with_peek	func	core/output_manager.py:283
_read_scores_csv	func	core/drift.py:25
_reconstruct_data	func	core/omr.py:377
_render_markdown	func	scripts/sql/export_schema_doc.py:83
_require	func	utils/validators.py:90
_require_storage_module	func	tests/test_dual_write.py:21
_resample	func	core/output_manager.py:263
_reset_progress_to_beginning	func	scripts/sql_batch_runner.py:442
_rollback	func	core/simplified_output_manager.py:183
_rolling_kwargs	func	core/fast_features.py:34
_run	func	utils/logger.py:440
_run_acm_batch	func	scripts/sql_batch_runner.py:586
_run_chunk_command	func	scripts/chunk_replay.py:149
_run_query	func	core/rul_engine.py:247
_safe_single_timestamp	func	core/output_manager.py:2495
_safe_timestamp_format	func	core/output_manager.py:2486
_save_models_to_sql	func	core/model_persistence.py:722
_save_progress	func	scripts/chunk_replay.py:101
_save_progress	func	scripts/sql_batch_runner.py:479
_select_model_type	func	core/omr.py:135
_serialize_param_value	func	utils/sql_config.py:320
_set_tick_minutes	func	scripts/sql_batch_runner.py:197
_should_auto_flush	func	core/output_manager.py:1096
_slug	func	utils/paths.py:12
_sql_connect	func	core/acm_main.py:510
_sql_finalize_run	func	core/acm_main.py:714
_sql_mode	func	core/acm_main.py:491
_sql_start_run	func	core/acm_main.py:649
_start_heartbeat	func	core/acm_main.py:84
_table_exists	func	core/output_manager.py:81
_table_exists	func	scripts/sql/validate_dual_write.py:11
_test_sql_connection	func	scripts/sql_batch_runner.py:120
_to_naive	func	core/forecasting.py:730
_to_naive	func	core/simplified_output_manager.py:56
_to_naive_series	func	core/simplified_output_manager.py:69
_to_pandas	func	core/fast_features.py:38
_truncate_outputs_for_equip	func	scripts/sql_batch_runner.py:261
_try_import_rs	func	rust_bridge/ffi.py:11
_update_progress	func	core/smart_coldstart.py:403
_validate_input	func	core/omr.py:160
_wait_for_futures_capacity	func	core/output_manager.py:1110
_write_calibration_summary	func	core/simplified_output_manager.py:545
_write_detector_correlation	func	core/simplified_output_manager.py:524
_write_episode_metrics	func	core/simplified_output_manager.py:566
_write_regime_occupancy	func	core/simplified_output_manager.py:507
_write_run_meta_json	func	core/acm_main.py:186
_write_to_csv	func	utils/config_dict.py:332
_zscore	func	core/fuse.py:533
AdaptiveThresholdCalculator	class	core/adaptive_thresholds.py:31
add_sink	func	utils/logger.py:146
add_sink	func	utils/logger.py:353
AnalyticsConstants	class	core/output_manager.py:128
analyze_batch_results	func	scripts/analyze_batch_results.py:14
analyze_fused_distribution	func	scripts/validate_adaptive_thresholds.py:32
analyze_per_regime_distribution	func	scripts/validate_adaptive_thresholds.py:98
anomaly_level	func	core/output_manager.py:137
anyio_backend	func	tools/mcp-grafana/tests/conftest.py:24
apply_health_timeline_row_limit	func	core/rul_common.py:54
apply_sql_patch	func	scripts/apply_schema_fixes.py:15
AR1Detector	class	core/forecasting.py:523
AR1Model	class	core/rul_engine.py:543
ascii_only	func	utils/logger.py:125
ascii_only	func	utils/logger.py:267
ascii_only	func	utils/logger.py:338
assert_and_handle_tool_call	async_fn	tools/mcp-grafana/tests/utils.py:7
assess_anomaly_rate	func	core/model_evaluation.py:104
assess_detector_quality	func	core/model_evaluation.py:59
assess_episode_quality	func	core/model_evaluation.py:189
assess_model_quality	func	core/model_evaluation.py:314
assess_regime_quality	func	core/model_evaluation.py:166
band_scalar	func	core/fast_features.py:389
batched_pairwise_lag	func	core/fast_features.py:574
batched_transaction	func	core/output_manager.py:558
build_failure_events	func	scripts/evaluate_rul_backtest.py:126
build_maintenance_recommendation	func	core/rul_engine.py:1499
build_sensor_attribution	func	core/rul_engine.py:1447
calc_flatline_span	func	core/acm_main.py:1226
calc_longest_gap	func	core/acm_main.py:1212
calculate_fused_threshold	func	core/adaptive_thresholds.py:49
calculate_optimal_window	func	core/smart_coldstart.py:183
calculate_threshold_impact	func	scripts/validate_adaptive_thresholds.py:163
calculate_thresholds_from_config	func	core/adaptive_thresholds.py:374
calculate_warn_threshold	func	core/adaptive_thresholds.py:338
call_proc	func	core/sql_client.py:217
check_data_flow	func	scripts/check_continuous_learning.py:273
check_detector_performance	func	scripts/check_continuous_learning.py:210
check_drift_detection	func	scripts/check_continuous_learning.py:331
check_episodes	func	scripts/check_continuous_learning.py:370
check_forecasting	func	scripts/check_continuous_learning.py:143
check_fusion_weights	func	scripts/check_continuous_learning.py:247
check_health_timeline	func	scripts/debug_check_health_timeline.py:11
check_model_evolution	func	scripts/check_continuous_learning.py:26
check_model_validity	func	core/model_persistence.py:1111
check_progress	func	monitor_progress.py:10
check_regime_detection	func	scripts/check_continuous_learning.py:89
check_sensor_analysis	func	scripts/check_continuous_learning.py:395
check_status	func	core/smart_coldstart.py:63
check_tables	func	scripts/check_tables_existence.py:13
check_tables	func	scripts/monitor_table_population.py:11
check_thresholds	func	scripts/check_continuous_learning.py:176
clean_flush_method	func	scripts/phase6_remove_filemode_bloat.py:174
cleanup_old_forecasts	func	core/rul_engine.py:83
cleanup_sessions	async_fn	tools/mcp-grafana/tests/conftest.py:29
cleanup_test_data	func	scripts/test_model_registry.py:247
clear_artifact_cache	func	core/output_manager.py:1490
clear_module_levels	func	utils/logger.py:128
clear_module_levels	func	utils/logger.py:348
close	func	core/historian.py:283
close	func	core/output_manager.py:1956
close	func	core/sql_client.py:202
close	func	core/sql_logger.py:97
close	func	core/sql_protocol.py:29
close	func	core/sql_protocol.py:48
close	func	core/sql_protocol.py:133
close	func	tests/test_sql_logger.py:25
coerce_for_sql	func	utils/sql_io.py:62
ColdstartState	class	core/smart_coldstart.py:21
combine	func	core/fuse.py:648
commit	func	core/sql_protocol.py:40
commit	func	tests/test_sql_logger.py:14
compute	func	core/drift.py:64
compute_all_bands_np	func	core/fast_features.py:337
compute_band_energies	func	core/fast_features.py:319
compute_basic_features	func	core/fast_features.py:893
compute_basic_features_pl	func	core/fast_features.py:730
compute_confidence	func	core/rul_engine.py:1575
compute_data_hash	func	core/forecasting.py:138
compute_detector_contributions	func	core/episode_culprits_writer.py:175
compute_failure_distribution	func	core/rul_engine.py:933
compute_forecast_quality	func	core/forecasting.py:247
compute_metrics	func	scripts/evaluate_rul_backtest.py:196
compute_rul	func	core/rul_engine.py:973
compute_rul_multipath	func	core/rul_engine.py:1106
compute_run_health_status	func	core/run_metadata_writer.py:132
compute_signature	func	utils/config_dict.py:310
ConfigDict	class	utils/config_dict.py:34
connect	func	core/sql_client.py:178
connect	func	scripts/evaluate_rul_backtest.py:53
connect_sql	func	scripts/monitor_adaptive_thresholds.py:20
connect_sql	func	scripts/validate_adaptive_thresholds.py:26
Connection	class	core/sql_protocol.py:35
Console	class	core/rul_common.py:21
Console	class	utils/logger.py:280
ContinuousLearningTestSuite	class	tests/test_continuous_learning_architecture.py:19
convert_tool	func	tools/mcp-grafana/tests/utils.py:88
copy	func	utils/config_dict.py:425
count_files_by_type	func	scripts/validate_sql_only_mode.py:31
create_model_metadata	func	core/model_persistence.py:1188
create_output_manager	func	core/output_manager.py:4232
create_output_manager	func	core/simplified_output_manager.py:601
create_quality_report	func	core/model_evaluation.py:288
create_test_models	func	scripts/test_model_registry.py:30
critical	func	utils/logger.py:258
critical	func	utils/logger.py:318
cursor	func	core/sql_client.py:210
Cursor	class	core/sql_protocol.py:14
cursor	func	core/sql_protocol.py:66
cursor	func	tests/test_sql_logger.py:34
CUSUMDetector	class	core/drift.py:34
DataMeta	class	core/output_manager.py:184
debug	func	utils/logger.py:238
debug	func	utils/logger.py:288
decision_function	func	core/outliers.py:104
decision_function	func	core/outliers.py:245
deco	func	utils/timer.py:65
DegradationModel	class	core/rul_engine.py:504
delete_and_bulk_insert	func	utils/sql_io.py:109
detect_data_cadence	func	core/smart_coldstart.py:126
detect_episodes	func	core/fuse.py:573
DummyConn	class	tests/test_sql_logger.py:9
DummyCursor	class	tests/test_sql_logger.py:18
DummySQLClient	class	tests/test_sql_logger.py:29
end	func	utils/timer.py:45
ensure_equipid_int	func	core/forecasting.py:118
ensure_equipid_int	func	core/rul_engine.py:69
ensure_runid_str	func	core/forecasting.py:108
ensure_runid_str	func	core/rul_engine.py:62
EpisodeParams	class	core/fuse.py:519
error	func	utils/logger.py:254
error	func	utils/logger.py:313
estimate_optimal_batch_size	func	core/sql_performance.py:263
estimate_rul	func	core/forecasting.py:484
evaluate_predictions	func	scripts/evaluate_rul_backtest.py:166
execute	func	core/sql_client.py:246
execute	func	core/sql_protocol.py:17
execute	func	core/sql_protocol.py:75
execute	func	tests/test_sql_logger.py:22
executemany	func	core/sql_client.py:260
ExponentialDegradationModel	class	core/rul_engine.py:642
export_schema	func	scripts/sql/export_schema_doc.py:121
extract_data_quality_score	func	core/run_metadata_writer.py:211
extract_run_metadata_from_scores	func	core/run_metadata_writer.py:163
FailureEvent	class	scripts/evaluate_rul_backtest.py:45
fetch_episodes	func	scripts/evaluate_rul_backtest.py:83
fetch_equipment_tags_for_acm	func	core/historian.py:299
fetch_health_timeline	func	scripts/evaluate_rul_backtest.py:76
fetch_rul_predictions	func	scripts/evaluate_rul_backtest.py:62
fetchall	func	core/sql_protocol.py:21
fetchall	func	core/sql_protocol.py:88
fetchone	func	core/sql_protocol.py:25
fetchone	func	core/sql_protocol.py:101
fit	func	core/correlation.py:37
fit	func	core/correlation.py:153
fit	func	core/drift.py:47
fit	func	core/forecasting.py:560
fit	func	core/fuse.py:413
fit	func	core/omr.py:273
fit	func	core/outliers.py:62
fit	func	core/outliers.py:148
fit	func	core/rul_engine.py:517
fit	func	core/rul_engine.py:561
fit	func	core/rul_engine.py:657
fit	func	core/rul_engine.py:728
fit	func	core/rul_engine.py:810
flatten_config_to_param_paths	func	scripts/sql/populate_acm_config.py:64
flexible_tool_call	async_fn	tools/mcp-grafana/tests/utils.py:135
flush	func	core/output_manager.py:1938
flush_and_finalize	func	core/output_manager.py:1944
forecast	func	core/rul_engine.py:836
ForecastState	class	core/model_persistence.py:63
from_csv	func	utils/config_dict.py:57
from_dict	func	core/forecasting.py:716
from_dict	func	core/model_persistence.py:103
from_dict	func	core/model_persistence.py:304
from_dict	func	core/omr.py:556
from_ini	func	core/sql_client.py:68
from_sql	func	utils/config_dict.py:151
from_sql_dict	func	core/rul_engine.py:383
from_yaml	func	utils/config_dict.py:50
fuse	func	core/fuse.py:546
Fuser	class	core/fuse.py:527
generate_all_analytics_tables	func	core/output_manager.py:1965
generate_default_charts	func	core/output_manager.py:2459
get	func	utils/config_dict.py:421
get_cached_table	func	core/output_manager.py:1464
get_cluster_centers	func	core/model_persistence.py:308
get_converted_tools	async_fn	tools/mcp-grafana/tests/utils.py:130
get_diagnostics	func	core/omr.py:526
get_equipment_config	func	utils/sql_config.py:24
get_equipment_mapping	func	scripts/sql/populate_acm_config.py:88
get_first_loki_datasource	func	tools/mcp-grafana/tests/loki_test.py:94
get_health_stats	func	scripts/monitor_adaptive_thresholds.py:52
get_last_forecast_horizon	func	core/model_persistence.py:107
get_latest_version	func	core/model_persistence.py:537
get_next_version	func	core/model_persistence.py:568
get_pca_params	func	core/model_persistence.py:327
get_performance_report	func	core/sql_performance.py:211
get_report	func	core/sql_performance.py:43
get_run_data	func	core/simplified_output_manager.py:377
get_scaler_params	func	core/model_persistence.py:317
get_sql_table_counts	func	scripts/validate_sql_only_mode.py:67
get_stats	func	core/output_manager.py:1930
get_stats	func	core/simplified_output_manager.py:384
get_tag_last_value	func	core/historian.py:222
get_threshold_stats	func	scripts/monitor_adaptive_thresholds.py:26
get_top_contributors	func	core/omr.py:501
get_version_path	func	core/model_persistence.py:573
GMMDetector	class	core/outliers.py:114
goertzel_energy	func	core/fast_features.py:852
grafana_env	func	tools/mcp-grafana/tests/conftest.py:49
grafana_env	func	tools/mcp-grafana/tests/disable_write_test.py:10
grafana_headers	func	tools/mcp-grafana/tests/conftest.py:71
grafana_team	async_fn	tools/mcp-grafana/tests/admin_test.py:25
Heartbeat	class	utils/logger.py:363
HistorianClient	class	core/historian.py:23
identify_fused_z_spike_failures	func	scripts/evaluate_rul_backtest.py:109
identify_health_threshold_failures	func	scripts/evaluate_rul_backtest.py:94
iforest_scores	func	rust_bridge/ffi.py:65
info	func	core/rul_common.py:23
info	func	utils/logger.py:242
info	func	utils/logger.py:293
inner	func	utils/timer.py:67
insert_many	func	core/sql_protocol.py:114
is_available	func	rust_bridge/schema.py:21
is_ready	func	core/smart_coldstart.py:35
is_sql_healthy	func	utils/sql_io.py:23
IsolationForestDetector	class	core/outliers.py:34
iter_batches	func	utils/sql_io.py:88
jsonl_logger	func	utils/logger.py:453
LearningState	class	core/rul_engine.py:345
list_cached_tables	func	core/output_manager.py:1496
list_versions	func	core/model_persistence.py:1157
llm_tool_call_sequence	async_fn	tools/mcp-grafana/tests/utils.py:102
load_config	func	utils/config.py:14
load_config	func	utils/validators.py:102
load_csv_to_historian	func	scripts/sql/load_historian_from_csv.py:17
load_csv_to_table	func	scripts/sql/load_equipment_data_to_sql.py:30
load_data	func	core/output_manager.py:617
load_forecast_state	func	core/model_persistence.py:199
load_health_timeline	func	core/rul_common.py:99
load_health_timeline	func	core/rul_engine.py:117
load_learning_state	func	core/rul_engine.py:418
load_models	func	core/model_persistence.py:929
load_regime_state	func	core/model_persistence.py:428
load_sensor_hotspots	func	core/rul_engine.py:234
load_with_retry	func	core/smart_coldstart.py:256
log	func	core/acm_main.py:68
log	func	utils/timer.py:73
log_auto_tune_changes	func	core/config_history_writer.py:200
log_performance_report	func	core/sql_performance.py:215
log_report	func	core/sql_performance.py:63
log_test_result	func	tests/test_continuous_learning_architecture.py:47
LogFormat	class	utils/logger.py:35
Logger	class	utils/logger.py:41
LogLevel	class	utils/logger.py:26
mad	func	core/fast_features.py:168
MahalanobisDetector	class	core/correlation.py:29
main	func	core/acm_main.py:734
main	func	scripts/apply_schema_fixes.py:42
main	func	scripts/check_continuous_learning.py:421
main	func	scripts/check_table_data.py:10
main	func	scripts/chunk_replay.py:210
main	func	scripts/debug_sql_status.py:12
main	func	scripts/evaluate_rul_backtest.py:217
main	func	scripts/monitor_adaptive_thresholds.py:143
main	func	scripts/sql/audit_acm_tables.py:49
main	func	scripts/sql/export_schema_doc.py:138
main	func	scripts/sql/load_equipment_data_to_sql.py:145
main	func	scripts/sql/load_historian_from_csv.py:104
main	func	scripts/sql/validate_dual_write.py:50
main	func	scripts/sql_batch_runner.py:943
main	func	scripts/test_model_registry.py:260
main	func	scripts/validate_adaptive_thresholds.py:196
main	func	scripts/validate_all_tables.py:44
main	func	scripts/validate_rul_engine.py:234
main	func	scripts/validate_sql_only_mode.py:142
main	func	tests/test_dual_write.py:149
main	func	tools/truncate_acm_tables.py:4
make_failure_forecast_ts	func	core/rul_engine.py:1325
make_health_forecast_ts	func	core/rul_engine.py:1298
make_rul_summary	func	core/rul_engine.py:1399
make_rul_ts	func	core/rul_engine.py:1351
make_run_paths	func	utils/paths.py:33
make_series	func	tests/test_fast_features.py:9
match_prediction_to_failure	func	scripts/evaluate_rul_backtest.py:159
mcp_client	async_fn	tools/mcp-grafana/tests/conftest.py:97
mcp_transport	func	tools/mcp-grafana/tests/conftest.py:39
mcp_url	func	tools/mcp-grafana/tests/conftest.py:44
melt_scores_long	func	core/output_manager.py:1502
merge_forecast_horizons	func	core/forecasting.py:352
merge_overrides	func	utils/config.py:28
ModelPerformanceMetrics	class	core/rul_engine.py:335
ModelQualityMonitor	class	core/model_evaluation.py:35
ModelType	class	core/omr.py:29
ModelVersionManager	class	core/model_persistence.py:506
norm_cdf	func	core/rul_common.py:27
norm_cdf	func	core/rul_engine.py:57
normalize_index	func	utils/timestamp_utils.py:126
normalize_timestamp_scalar	func	utils/timestamp_utils.py:18
normalize_timestamp_series	func	utils/timestamp_utils.py:48
normalize_timestamps	func	utils/timestamp_utils.py:81
objective	func	core/rul_engine.py:740
ok	func	utils/logger.py:262
ok	func	utils/logger.py:298
ols_slope	func	core/fast_features.py:260
OMRDetector	class	core/omr.py:87
OMRModel	class	core/omr.py:38
optimize_dataframe_for_sql	func	core/sql_performance.py:220
OutputBatch	class	core/output_manager.py:338
OutputManager	class	core/output_manager.py:347
parse_culprits_string	func	core/episode_culprits_writer.py:20
parse_value_type	func	scripts/sql/populate_acm_config.py:25
PCASubspaceDetector	class	core/correlation.py:138
populate_config	func	scripts/sql/populate_acm_config.py:98
predict	func	core/outliers.py:108
predict	func	core/rul_engine.py:530
predict	func	core/rul_engine.py:611
predict	func	core/rul_engine.py:697
predict	func	core/rul_engine.py:776
print_section	func	scripts/check_continuous_learning.py:17
print_status	func	scripts/monitor_adaptive_thresholds.py:105
print_subsection	func	scripts/check_continuous_learning.py:22
process_equipment	func	scripts/sql_batch_runner.py:856
QuickValidationTests	class	tests/test_continuous_learning_quick.py:16
read_table	func	core/simplified_output_manager.py:339
read_threshold_metadata	func	core/output_manager.py:4157
record_operation	func	core/sql_performance.py:31
RegimeState	class	core/model_persistence.py:263
remove_chart_code	func	scripts/remove_chart_code.py:8
remove_csv_files_from_batch	func	scripts/phase2_remove_csv.py:85
remove_csv_methods	func	scripts/phase2_remove_csv.py:8
remove_json_files_field	func	scripts/phase6_remove_filemode_bloat.py:151
remove_json_methods	func	scripts/phase6_remove_filemode_bloat.py:102
remove_rul_import	func	scripts/phase6_remove_filemode_bloat.py:13
remove_schema_descriptor	func	scripts/phase5_remove_schema_helper.py:8
remove_sink	func	utils/logger.py:151
remove_sink	func	utils/logger.py:358
remove_to_naive_functions	func	scripts/phase6_remove_filemode_bloat.py:65
replace_to_naive_calls	func	scripts/phase6_remove_filemode_bloat.py:44
retrieve_cyclic_tags	func	core/historian.py:59
retrieve_full_tags	func	core/historian.py:150
RiverTAD	class	core/river_models.py:26
rollback	func	core/sql_protocol.py:44
rolling_mad	func	core/fast_features.py:148
rolling_mean_std	func	core/fast_features.py:175
rolling_median	func	core/fast_features.py:125
rolling_ols_slope	func	core/fast_features.py:222
rolling_pairwise_lag	func	core/fast_features.py:484
rolling_skew_kurt	func	core/fast_features.py:196
rolling_spectral_energy	func	core/fast_features.py:276
rolling_spectral_energy_pl	func	core/fast_features.py:471
rolling_xcorr	func	core/fast_features.py:417
RULConfig	class	core/rul_common.py:36
RULConfig	class	core/rul_engine.py:37
RULModel	class	core/rul_engine.py:791
RULPrediction	class	scripts/evaluate_rul_backtest.py:38
run	func	core/drift.py:96
run_all	func	tests/test_continuous_learning_quick.py:30
run_all_tests	func	tests/test_continuous_learning_architecture.py:308
run_all_tests	func	tests/test_logger.py:208
run_all_tests	func	tests/test_timer.py:110
run_and_persist_enhanced_forecasting	func	core/forecasting.py:1330
run_enhanced_forecasting_sql	func	core/forecasting.py:738
run_pipeline	func	scripts/validate_sql_only_mode.py:106
